V1,V2,V3,V4,V5,class
1.179889,-0.213718,0.340216,-0.863577,0.199809,1
1.208534,-0.184373,0.340216,-0.863577,0.199809,1
1.208534,-0.213718,0.365861,-0.863577,0.199809,1
1.208534,-0.213718,0.340216,-0.835232,0.199809,1
1.208534,-0.213718,0.340216,-0.863577,0.224454,1
1.068338402,-0.2341721,-1.214084207,-0.423023142,0.072536809,1
1.5766751,-0.601961,-0.848295914,-0.564783999,-0.092927381,1
1.929117401,-0.983923501,-0.476212673,-0.699119158,-0.253142172,1
1.132943681,-0.290151135,-1.143672201,-0.385018615,0.07045585,1
1.320777027,-0.405982386,-1.038775759,-0.157063174,0.056272001,1
-0.584058,-0.603354,-0.79797,-1.521006,-1.89029,1
-0.584058,-0.603354,-0.79797,-1.521006,1.89029,1
-0.584058,-0.603354,-0.79797,1.521006,-1.89029,1
-0.584058,-0.603354,0.79797,-1.521006,-1.89029,1
-0.584058,0.603354,-0.79797,-1.521006,-1.89029,1
-0.564944,0.612842,0.719801,0.315144,-0.539681,1
-0.564944,0.612842,0.719801,0.315144,-0.539681,1
-0.564944,0.612842,0.719801,0.315144,-0.539681,1
-0.564944,0.612842,0.719801,0.315144,-0.539681,1
-0.564944,0.612842,0.719801,0.315144,-0.539681,1
0.543809,-0.18191,1.096696,0.351891,-0.618014,1
0.193809,-1.18191,1.096696,0.351891,-0.618014,1
0.193809,-0.18191,2.096696,0.351891,-0.618014,1
0.193809,-0.18191,1.096696,1.351891,-0.618014,1
0.193809,-0.18191,1.096696,0.351891,-1.618014,1
